kidnapper,someone who unlawfully seizes and detains a victim (usually for ransom) 
airport,place where aeroplanes can land to pick up or put down people and goods
stage,the raised floor on which plays are performed in a theatre
kidnapper,someone who unlawfully seizes and detains a victim (usually for ransom) 
airport,place where aeroplanes can land to pick up or put down people and goods
stage,the raised floor on which plays are performed in a theatre
Switzerland,a country in Europe
shook,"past tense of ""shake"""
wildlife,plants and animals living in nature
spun,"paste tense of ""spin"""
different,not same
autograph,something written or made with one's own hand
greedy,"having or showing an intense and selfish desire for something, especially wealth or power"
bakery,"store that sells bread, cakes."
present,a thing given to someone as a gift
branch,A part of a tree that grows out from the trunk or from a bough.
net,"A length of open-meshed material made of twine, cord, rope, or something similar, used typically for catching fish or other animals."
trap,A device or enclosure designed to catch and retain animals
trunk,The main woody stem of a tree as distinct from its branches and roots.
waterfall,"A cascade of water falling from a height, formed when a river or stream flows over a precipice or steep incline."
gold,A yellow precious metal
throne,"A ceremonial chair for a sovereign, bishop, or similar figure."
